canonical_id,name,region,pilot_batch,total_reviews_collected,positive_collected,negative_collected,neutral_collected,positive_selected,negative_selected,neutral_selected,coverage_status,target_positive,target_negative,target_neutral
can_a5ad28d20e8a,Kuil Ketapang II,Kabupaten Lampung Utara,batch_003,0,0,0,0,0,0,0,no_google_reviews,5,3,2
can_03a8601a9bdd,Persawahan desa fajar Baru blok A,Kabupaten Mesuji,batch_001,0,0,0,0,0,0,0,no_google_reviews,5,5,3
can_47488bf0fc45,sawah adnan,Kabupaten Mesuji,batch_002,0,0,0,0,0,0,0,no_google_reviews,5,3,2
can_d81aa0fa427b,Sawah Aris Putra,Kabupaten Mesuji,batch_004,0,0,0,0,0,0,0,no_google_reviews,5,3,2
can_58c807b2db79,Taman berwarna pingled 22,Kota Metro,batch_002,0,0,0,0,0,0,0,no_google_reviews,5,3,2
can_a782197a9c50,Batas desa Ambarawa barat sumberagung,Kabupaten Pringsewu,batch_003,0,0,0,0,0,0,0,no_google_reviews,5,3,2
can_d44e6dc9baf4,Gadingreju,Kabupaten Pringsewu,batch_004,0,0,0,0,0,0,0,no_google_reviews,5,3,2
can_5f8aebc62c3b,Khalisaa,Kabupaten Pringsewu,batch_003,0,0,0,0,0,0,0,no_google_reviews,5,3,2
can_2f84aa658420,Sawahku 4300,Kabupaten Pringsewu,batch_002,0,0,0,0,0,0,0,no_google_reviews,5,3,2
can_021c5626431e,GR.DONK,Kabupaten Pringsewu,batch_001,0,0,0,0,0,0,0,no_google_reviews,5,5,3
can_168c0626e801,Sawah dede lili,Kabupaten Pringsewu,batch_001,0,0,0,0,0,0,0,no_google_reviews,5,5,3
can_0776813a925a,Kanal Y,Kabupaten Tulang Bawang,batch_001,0,0,0,0,0,0,0,no_google_reviews,5,5,3
can_15dc7c773782,Taman Tugu Dodos,Kabupaten Tulang Bawang,batch_001,0,0,0,0,0,0,0,no_google_reviews,5,5,3
can_48b7e18df94a,Tiwii,Kabupaten Tulang Bawang,batch_002,0,0,0,0,0,0,0,no_google_reviews,5,3,2
can_fd63dd0c8c25,Sawah wayang Ricky,Kabupaten Tulang Bawang,batch_004,0,0,0,0,0,0,0,no_google_reviews,5,3,2
can_dc3224d929b6,RUMAH MAMAK,Kabupaten Tulang Bawang,batch_004,0,0,0,0,0,0,0,no_google_reviews,5,3,2
can_1c185bb8d31e,Embung Way Sumber Jaya,Kabupaten Tulang Bawang Barat,batch_001,0,0,0,0,0,0,0,no_google_reviews,5,5,3
can_7267a0673e60,Perkebunan Jambu Kristal Gusanto,Kabupaten Tulang Bawang Barat,batch_003,0,0,0,0,0,0,0,no_google_reviews,5,3,2
can_07fc88875adc,Embung Way Balam Jaya,Kabupaten Tulang Bawang Barat,batch_001,0,0,0,0,0,0,0,no_google_reviews,5,5,3
can_96701f380902,Kebun singkong,Kabupaten Tulang Bawang Barat,batch_003,0,0,0,0,0,0,0,no_google_reviews,5,3,2
can_e8066416c183,FMM Panaragan,Kabupaten Tulang Bawang Barat,batch_004,0,0,0,0,0,0,0,no_google_reviews,5,3,2
can_9460594145a4,Taman kuda mulyosari,Kabupaten Tulang Bawang Barat,batch_003,0,0,0,0,0,0,0,no_google_reviews,5,3,2
can_43fd39fb5671,Agro wisata,Kabupaten Tulang Bawang Barat,batch_002,0,0,0,0,0,0,0,no_google_reviews,5,3,2
